<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.03	00:00:00	100.487	100.721	100.389	100.621	11137	0	1
2013.06.03	04:00:00	100.620	100.639	100.151	100.220	12352	0	1
2013.06.03	08:00:00	100.218	100.507	100.026	100.360	12132	0	1
2013.06.03	12:00:00	100.361	100.376	98.862	99.184	18412	0	1
2013.06.03	16:00:00	99.187	99.512	99.007	99.481	11341	0	1
2013.06.03	20:00:00	99.480	99.808	99.427	99.735	6097	0	1
2013.06.04	00:00:00	99.736	99.860	99.333	99.704	12105	0	1
2013.06.04	04:00:00	99.702	100.413	99.657	100.286	14265	0	1
2013.06.04	08:00:00	100.283	100.357	99.855	100.183	10961	0	1
2013.06.04	12:00:00	100.182	100.378	99.987	100.156	15039	0	1
2013.06.04	16:00:00	100.155	100.285	99.945	100.034	8944	0	1
2013.06.04	20:00:00	100.034	100.297	99.933	100.272	5798	0	1
2013.06.05	00:00:00	100.273	100.460	99.921	100.004	13504	0	1
2013.06.05	04:00:00	100.009	100.070	99.384	99.729	17584	0	1
2013.06.05	08:00:00	99.731	99.980	99.298	99.480	11141	0	1
2013.06.05	12:00:00	99.479	99.712	99.066	99.157	18172	0	1
2013.06.05	16:00:00	99.158	99.369	98.966	99.127	10786	0	1
2013.06.05	20:00:00	99.127	99.226	98.993	99.124	6075	0	1
2013.06.06	00:00:00	99.125	99.432	98.856	99.167	13412	0	13
2013.06.06	04:00:00	99.167	99.461	98.972	99.191	14199	0	3
2013.06.06	08:00:00	99.189	99.345	98.966	99.052	12255	0	3
2013.06.06	12:00:00	99.051	99.367	98.322	98.359	20009	0	3
2013.06.06	16:00:00	98.360	98.643	95.909	97.215	22618	0	4
2013.06.06	20:00:00	97.219	97.467	96.957	97.312	10532	0	13
2013.06.07	00:00:00	97.312	97.508	96.310	96.537	18258	0	13
2013.06.07	04:00:00	96.538	97.234	95.538	96.831	23435	0	3
2013.06.07	08:00:00	96.830	96.935	95.525	95.620	19448	0	3
2013.06.07	12:00:00	95.623	97.779	94.982	97.360	25527	0	3
2013.06.07	16:00:00	97.360	97.733	96.955	97.420	15977	0	3
2013.06.07	20:00:00	97.421	97.575	97.261	97.533	4546	0	13
2013.06.10	00:00:00	98.273	98.419	97.709	97.952	14284	0	13
2013.06.10	04:00:00	97.952	98.433	97.933	98.362	12333	0	3
2013.06.10	08:00:00	98.362	98.769	98.246	98.752	13756	0	3
2013.06.10	12:00:00	98.751	99.278	98.454	99.122	19162	0	3
2013.06.10	16:00:00	99.123	99.160	98.509	98.703	15634	0	3
2013.06.10	20:00:00	98.704	99.036	98.597	98.851	7013	0	13
2013.06.11	00:00:00	98.851	98.974	97.942	98.168	12999	0	13
2013.06.11	04:00:00	98.170	98.469	97.792	98.360	17482	0	3
2013.06.11	08:00:00	98.358	98.364	96.469	97.038	21539	0	3
2013.06.11	12:00:00	97.038	97.291	96.542	96.843	21375	0	3
2013.06.11	16:00:00	96.847	97.141	95.600	96.139	19610	0	3
2013.06.11	20:00:00	96.135	96.270	95.723	96.110	9723	0	13
2013.06.12	00:00:00	96.110	96.585	96.046	96.462	12352	0	13
2013.06.12	04:00:00	96.462	96.895	96.229	96.618	12565	0	3
2013.06.12	08:00:00	96.617	97.013	96.323	96.669	16228	0	3
2013.06.12	12:00:00	96.670	96.774	95.566	95.673	18539	0	3
2013.06.12	16:00:00	95.674	96.136	95.138	95.674	19805	0	3
2013.06.12	20:00:00	95.675	96.168	95.490	95.933	9030	0	13
2013.06.13	00:00:00	95.934	95.934	94.452	94.801	17764	0	13
2013.06.13	04:00:00	94.800	94.906	93.788	94.095	18861	0	4
2013.06.13	08:00:00	94.087	94.429	93.953	94.369	16855	0	3
2013.06.13	12:00:00	94.368	94.781	93.934	94.211	20323	0	3
2013.06.13	16:00:00	94.210	95.001	94.022	94.855	16921	0	3
2013.06.13	20:00:00	94.856	95.728	94.743	95.578	12182	0	1
2013.06.14	00:00:00	95.577	95.577	94.431	94.924	19197	0	1
2013.06.14	04:00:00	94.924	95.372	94.684	95.113	15426	0	1
2013.06.14	08:00:00	95.111	95.190	94.815	95.006	11385	0	1
2013.06.14	12:00:00	95.010	95.322	94.089	94.342	18928	0	1
2013.06.14	16:00:00	94.343	94.542	93.992	94.343	13299	0	1
2013.06.14	20:00:00	94.339	94.359	94.054	94.055	1606	0	1
2013.06.17	00:00:00	94.331	94.824	94.237	94.815	11244	0	1
2013.06.17	04:00:00	94.814	95.123	94.646	94.996	9938	0	1
2013.06.17	08:00:00	94.995	95.049	94.674	94.752	8263	0	1
2013.06.17	12:00:00	94.757	95.020	94.689	94.863	12935	0	1
2013.06.17	16:00:00	94.866	95.216	94.285	94.453	10704	0	1
2013.06.17	20:00:00	94.451	94.728	94.380	94.570	8245	0	1
2013.06.18	00:00:00	94.573	94.954	94.534	94.861	11984	0	1
2013.06.18	04:00:00	94.861	95.165	94.738	95.087	8838	0	1
2013.06.18	08:00:00	95.092	95.440	95.012	95.294	9930	0	1
2013.06.18	12:00:00	95.297	95.763	95.076	95.200	14799	0	1
2013.06.18	16:00:00	95.201	95.351	95.044	95.301	7301	0	1
2013.06.18	20:00:00	95.303	95.663	95.256	95.586	6279	0	1
2013.06.19	00:00:00	95.587	95.589	95.175	95.274	10929	0	1
2013.06.19	04:00:00	95.274	95.426	94.883	95.029	10591	0	1
2013.06.19	08:00:00	95.030	95.229	94.833	95.103	8903	0	1
2013.06.19	12:00:00	95.103	95.272	94.945	95.226	9548	0	1
2013.06.19	16:00:00	95.227	97.031	95.100	96.554	15631	0	1
2013.06.19	20:00:00	96.553	96.743	96.004	96.582	10909	0	1
2013.06.20	00:00:00	96.583	97.177	96.205	97.152	16313	0	1
2013.06.20	04:00:00	97.149	98.160	96.830	98.093	17594	0	1
2013.06.20	08:00:00	98.094	98.286	97.669	97.868	17373	0	1
2013.06.20	12:00:00	97.881	98.234	97.553	98.181	19565	0	1
2013.06.20	16:00:00	98.179	98.222	97.105	97.427	13820	0	1
2013.06.20	20:00:00	97.425	97.504	96.864	97.017	9022	0	1
2013.06.21	00:00:00	97.016	97.371	96.919	97.303	13046	0	1
2013.06.21	04:00:00	97.300	98.133	97.180	97.971	15094	0	1
2013.06.21	08:00:00	97.972	97.989	97.265	97.696	12055	0	1
2013.06.21	12:00:00	97.695	97.857	97.324	97.487	16866	0	1
2013.06.21	16:00:00	97.487	97.988	97.487	97.766	10669	0	1
2013.06.21	20:00:00	97.769	97.906	97.697	97.881	1340	0	1
2013.06.24	00:00:00	98.388	98.700	98.124	98.492	14000	0	1
2013.06.24	04:00:00	98.489	98.592	98.218	98.325	12151	0	1
2013.06.24	08:00:00	98.323	98.400	97.734	98.249	13975	0	1
2013.06.24	12:00:00	98.249	98.307	97.222	97.703	19780	0	1
2013.06.24	16:00:00	97.704	97.863	97.534	97.648	11422	0	1
2013.06.24	20:00:00	97.652	97.818	97.471	97.622	5459	0	1
2013.06.25	00:00:00	97.621	98.058	97.274	97.317	14020	0	1
2013.06.25	04:00:00	97.318	97.664	97.311	97.408	14844	0	1
